word,category,score,memo
매꾸,동사,-10,오타 검출용
갖히,동사,-10,오타 검출용
곂치,동사,-10,오타 검출용
꼬오,동사,-10,오타 검출용
몰아붙히,동사,-10,오타 검출용
울궈먹,동사,-10,오타 검출용
뭍히,동사,-10,오타 검출용
파뭍히,동사,-10,오타 검출용
베어나오,동사,-10,오타 검출용
멤돌,동사,-10,오타 검출용
눌러붙,동사,0,오타 검출용

멋드러지,형용사,,오타 검출용
어쭙찮,형용사,,오타 검출용

마져,보조사,,오타 검출용

겠끔,연결어미,-10,오타 검출용
곘,선어말어미,-10,오타 검출용
